Type,Cycle,Title,Student 1,Student 2,Student 3,Supervisor 1,Supervisor 2,Supervisor 3,Publication year,Continent,Country,Region,Département,City,Neighbourhood,Landmark,Geographic coordinates,Reference code,ArchiRès link
PFE (France),Master,Habiter Ossau à travers les contes,Charlotte Vallon,,,Raphaëlle Hondelatte,,,2025,Europe,France,Nouvelle-Aquitaine,Pyrénées-Atlantiques,,,"Pyrénées, Vallée d'Ossau","42.98731032859008, -0.42543696029838474",E_PFE_03/2025/3599,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/595006/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"Nielles et autres alentours, ou comment proposer une alternative à la privatisation de notre littoral?",Thibault Littaye,,,Marie-Elisabeth Nicoleau,Gilles Paté,,2025,Europe,France,Bretagne,Ille-et-Vilaine,Saint-Malo,,Site des Nielles,"48.66758428070542, -1.9860781459455814",E_PFE_03/2025/3613,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/595546/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Territoires en déprise: les ressources du patrimoine religieux : Le cas de l'abbaye Belle-Etoile,Léa Andrieu,Corentin Faburel,,Cyrille Véran,,,2025,Europe,France,Normandie,Orne,,,Abbaye Belle-Étoile,"48.77646618137102, -0.6224193571478066",E_PFE_03/2025/3585,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/594440/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Un autre chemin,To Uyen Bui,Isabelle Blanc,,Vincent Chevalier,,,2025,Europe,France,Île-de-France,Val-d'Oise,Ableiges,,,"49.09090140082123, 1.9811649207949293",E_PFE_03/2025/3597,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/595496/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"Réseau friches, les friches industrielles sur un territoire rural au service d'une résilience économique",Perrine Loddo,,,Reza Azard,,,2025,Europe,France,Nouvelle-Aquitaine,Gironde,"Callen, Moustey, Marcheprime",,,"44.693793400583075, -0.8541551028760338",E_PFE_03/2025/3618,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/594738/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,INVERSO: une école à pédagogie plurielle et intergénérationnelle,Jeanne Tondo,,,Andreas Kofler,,,2025,Europe,France,Île-de-France,Val-de-Marne,Vitry-sur-Seine,,,"48.793733865488925, 2.383251366076514",E_PFE_03/2025/3588,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/594719/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Rendez-vous au sommet,Agathe Riot,,,Susanne Stacher,,,2025,Europe,France,Auvergne-Rhône-Alpes,Haute-Savoie,Chamonix-Mont-Blanc,,,"45.8879183657783, 6.859817286954289",E_PFE_03/2025/3562,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/581520/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,D'une dalle à l'autre. Recomposer un cadre de vie entre Seine et Défense,Léa Kiriane Vail,,,Ingrid Taillandier,,,2025,Europe,France,Île-de-France,Hauts-de-Seine,"Puteaux, Courbevoie",,,"48.88911002913607, 2.253450623624353",E_PFE_03/2025/3582,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/597835/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"[Réhabiliter] Ecole Montaigne Franceschi, éduquer à travers l'architecture",Sophie Levent-Jumeau,,,Nicolas Pham,,,2025,Europe,France,Île-de-France,Val-de-Marne,Alfortville,,,"48.787288127649944, 2.4259738087044953",E_PFE_03/2025/3570,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/583474/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Habiter le jardin productif. Comment construire la ville alternative en territoire agri-urbain,Eliette Emblanc,,,Matthias Armengaud,Raphaëlle Hondelatte,,2025,Europe,France,Île-de-France,Essonne,Saclay,,Plateau de Saclay,"48.739953867800004, 2.1696675865294295",E_PFE_03/2025/3550,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/578634/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Temps libre,Inès Penneron,,,Henri Bony,,,2025,Europe,France,Île-de-France,Paris,Paris,"1er arrondissement, Quartier des Halles",,"48.86223295796568, 2.345604808944753",E_PFE_03/2025/3630,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/598734/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Transition vers un nouvel usage: transformation de la grande soufflerie de Meudon,Paul Dussud,,,Matthieu Gelin,,,2025,Europe,France,Île-de-France,Hauts-de-Seine,Meudon,,Grande soufflerie de Meudon,"48.80018060806149, 2.2364492214657883",E_PFE_03/2025/3576,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/584200/id_int_bib/1/id_site/20/record_type/1
